x,y,z,K,activation_time,speed
4.0358,16.4330,-8.1505,0.005077,246,0.21996
4.5919,15.9504,8.5018,0.005609,262,0.23155
6.5439,17.8474,-4.7179,0.008896,239,0.23223
7.3689,16.2426,-5.0445,0.003670,231,0.05912
-10.4462,15.8557,-0.8029,0.009255,315,0.22400
-4.3841,16.3880,9.5272,0.005607,295,0.25146
7.8710,17.5273,-2.3979,0.004234,235,0.13049
-9.8194,16.5880,-2.4333,0.006263,307,0.23845
-8.4418,16.1884,-5.5257,0.008771,295,0.18895
8.7225,16.6532,0.5698,0.003534,235,0.24200
-2.0019,15.7178,-9.7956,0.008828,269,0.19329
8.5505,17.0032,-0.4408,0.007927,235,0.24373
-9.9642,15.6430,-2.9938,0.004804,307,0.23938
-10.5155,15.8371,1.3881,0.008599,322,0.21240
-7.8514,15.9727,-6.4229,0.007718,292,0.26101
-4.6624,16.3578,-8.6942,0.005981,278,0.23649
6.8434,17.0322,-5.1656,0.010154,235,0.12109
6.1178,15.8579,7.3762,0.003370,255,0.12334
7.8546,15.6379,5.3232,0.004041,243,0.15392
7.9856,16.7770,-3.2843,0.003949,231,0.07035
0.3711,17.1978,9.5932,0.007160,275,0.04307
0.0807,15.7018,-9.8595,0.007094,262,0.15163
-9.4726,16.4684,-3.5117,0.008622,303,0.24046
6.8723,15.4426,6.8457,0.002616,251,0.19939
5.2858,16.0958,7.9428,0.005339,259,0.10041
3.1170,16.3264,-8.6927,0.005417,250,0.26151
8.2622,17.2941,-1.4401,0.009157,235,0.24365
5.0119,16.5386,-7.4238,0.007496,242,0.22233
3.9087,15.8120,8.9564,0.003567,265,0.24731
-3.1078,15.6176,-9.6159,0.007492,273,0.18293
6.5612,16.4459,-5.9855,0.005038,235,0.08262
8.3987,16.8312,2.4036,0.003765,239,0.23408
7.8944,17.3320,3.2155,0.005144,243,0.18694
1.7653,15.2993,-9.6821,0.008392,255,0.22762
-8.5343,15.1557,-6.0096,0.004843,296,0.24268
-0.2473,16.2251,10.0725,0.008980,279,0.07958
-9.0074,16.3182,-4.5360,0.006426,299,0.23885
-8.9393,14.8916,6.3631,0.003541,318,0.08239
-10.7278,15.0256,0.8402,0.005267,323,0.14745
7.4072,16.7559,5.0211,0.002881,243,0.04840
-5.0567,15.3568,-8.9528,0.005422,281,0.09335
-2.6353,17.3270,9.6230,0.010323,287,0.12690
5.6864,14.4206,8.4491,0.005154,259,0.24643
9.1855,15.6575,0.7345,0.003889,231,0.23996
7.9726,16.1021,-4.1282,0.005506,231,0.09459
-8.3140,15.3335,7.1006,0.013817,314,0.10814
-2.8307,13.8368,-10.2705,0.002663,271,0.18233
-6.3194,16.3842,-7.6323,0.008919,285,0.27203
7.2763,15.5080,-5.8002,0.006553,231,0.13167
-10.3599,14.7926,-2.4389,0.005333,311,0.23767
-9.0768,15.3472,-5.0573,0.002410,299,0.19922
8.7115,15.4225,3.6090,0.000515,235,0.04258
-6.0060,16.7623,8.5873,0.006648,302,0.15389
8.1377,15.9895,4.4046,0.004144,239,0.03873
0.6435,16.2884,9.9154,0.003555,279,0.03915
-9.5154,14.4392,5.5820,0.006827,322,0.08349
-1.8260,17.0755,9.8112,0.008076,283,0.06381
-10.1304,16.2276,3.1237,0.008829,325,0.05146
-9.5716,15.5017,-4.0473,0.004435,303,0.24032
-10.0162,15.6251,3.9527,0.005582,323,0.28011
-3.5576,15.8504,9.9520,0.007283,291,0.06976
-9.2920,15.4964,5.5762,0.004185,319,0.17559
8.4374,16.5822,-2.3070,0.004624,231,0.15384
-4.5931,15.4659,9.7352,0.005847,295,0.05497
-2.5412,14.8076,-10.0441,0.003718,271,0.20284
4.8809,15.1401,8.6918,0.003701,262,0.24721
-10.5127,15.9076,0.3029,0.005875,319,0.15687
-7.1744,15.6527,-7.2724,0.003746,289,0.27637
-0.9317,15.7208,-9.8853,0.005178,266,0.11253
